layer,cos_ASR_Mixed,relfrob_ASR_Mixed,meanangle_deg_ASR_Mixed,cos_ASR_QA,relfrob_ASR_QA,meanangle_deg_ASR_QA,cos_Mixed_QA,relfrob_Mixed_QA,meanangle_deg_Mixed_QA,cos_to_I_ASR,diag_energy_ratio_ASR,cos_to_I_Mixed,diag_energy_ratio_Mixed,cos_to_I_QA,diag_energy_ratio_QA
10,0.9233340890739848,0.38406958772922584,38.55926988225762,0.7047017599933004,0.7716902329877869,67.54812967694288,0.9217238759689917,0.42456292332640533,42.52143447109757,0.47580286544774525,0.23537220304777237,0.5524615894495688,0.3147411764229729,0.5371048441535541,0.295933684623446
11,0.9253681505963179,0.37913371513341615,39.54758567631558,0.7143037582888598,0.7616655856819384,67.01798180212441,0.9249280932097155,0.416565239487338,41.787159392208444,0.48906522221603543,0.24722591703594463,0.5611012931661359,0.3232687853808429,0.5424846489297191,0.3009230342794391
12,0.9280274771215927,0.3726548703706449,40.90088601197777,0.7278883047175334,0.7482310612551883,66.39263324023229,0.9296340228508913,0.40505420678755655,40.2224503869723,0.5078959996488697,0.2651696279252758,0.5731770449899054,0.335948514815202,0.5499281498369403,0.3082673549731429
13,0.9302607011703992,0.36737144385006576,41.9610115481828,0.7412448883716326,0.7371254612832142,65.58586828918664,0.9345815849819784,0.3938770166367442,38.45466686814498,0.528691129734852,0.2856178154285586,0.5859652523666097,0.3495412526445939,0.5567140879526647,0.3148585665452981
14,0.9332466828784389,0.3597969708370909,43.275609105050876,0.7531468498979116,0.7215234577149914,65.1093657819518,0.9380003777032063,0.38350557404846686,37.59896313193938,0.5478232690973949,0.30535617154088274,0.5985890799888296,0.36353696475683883,0.5650257947166132,0.323451143335001
15,0.935946510680073,0.35335786934419083,44.760981146878116,0.7671562108578998,0.7084385999044782,64.24984914816504,0.9427713946439822,0.37172304333857487,35.89010033776935,0.5722453921076655,0.3317244567033137,0.6136845529741104,0.38080814642088023,0.5737117805131269,0.3325822830591228
16,0.9389240466760819,0.34615166912592443,45.550012386571225,0.7811905198079258,0.6938326906850182,63.69494043494131,0.9472575614976607,0.35975734248673463,35.63972546021085,0.5984606438724345,0.3615837390908355,0.6310032952876475,0.4015564439521176,0.5852090437460807,0.34532990049921286
17,0.9417651633168144,0.3391606991967245,46.258162173431785,0.7936683919494572,0.6799649423778841,62.3964763758711,0.9510373413801312,0.3491292420543881,34.14609946646731,0.622849423139026,0.3905324883641776,0.646650893096037,0.4207408427874615,0.5953544494089349,0.3567031457936307
18,0.9448939759050999,0.33095910398813283,47.24894730742171,0.805910977779755,0.6635383903911903,62.931698591591186,0.9544178108479185,0.33811356670404413,32.92314303485608,0.6520223189435318,0.4272124749347164,0.6676401276762648,0.4478133108989982,0.6113144814092669,0.3755551120235979
19,0.947165292046066,0.3254087178250792,47.54951868735524,0.8153917404782379,0.6531973425212759,62.39551726609848,0.9571724690778275,0.33029776073781064,32.69405299322365,0.6786794731723129,0.46238870491960404,0.6867456921402384,0.4734144867129419,0.6254656011362034,0.3928374527023054
